,ref,LED1,LED2,LED3
625,0,0,32.91795413,2.676258959
626,0,0,35.43558748,2.899798836
627,0,0,39.03536781,3.244301011
628,0,0,42.53421483,3.648243514
629,0,0,45.3867256,4.030076325
630,0,0,47.2519441,4.4179829
631,0,0,47.8388156,4.829577693
632,0,0,47.09781392,5.339356251
633,0,0,45.12703603,5.935032942
634,0,0,42.09503065,6.547295281
635,0,0,38.34602877,7.237182879
636,0,0,32.84010555,7.73062735
637,0,0,28.83289389,8.590761868
638,0,0,25.04910736,9.59510935
639,0,0,21.48138636,10.61017491
640,0,0,18.21541723,11.74463444
641,0,0,15.28063048,12.9732639
642,0,0,12.86617348,14.36627062
643,0,0,10.75522875,15.86025776
644,0,0,9.048851454,17.64843112
645,0,0,7.62702541,19.57365003
646,0,0,6.26171649,21.35986466
647,0,0,5.277694085,23.72998309
648,0,0,4.459700574,26.20206956
649,0,0,3.740267748,28.96641751
650,0,0,3.158683225,31.99580382
651,0,0,2.716437263,35.2438143
652,0,0,2.296520699,38.84490724
653,0,0,1.915147469,42.72427616
654,0,0,1.599758739,46.72054703
655,0,0,1.367754887,50.498934
656,0,0,1.262865438,54.34915149
657,0,0,1.133280428,56.66759694
658,0,0,1.003295083,57.49369434
659,0,0,0.874122458,56.80110104
660,0,0,0,54.51455101
661,0,0,0,50.95929304
662,0,0,0,46.29610237
663,0,0,0,41.00065418
664,0,0,0,35.63988944
665,0,0,0,30.41036163
666,0,0,0,26.87149795
667,0,0,0,22.6528678
668,0,0,0,18.99841236
669,0,0,0,15.93963321
670,0,0,0,13.36144047
671,0,0,0,11.21531752
672,0,0,0,9.425495325
673,0,0,0,7.904327731
674,0,0,0,6.617690934
675,0,0,0,5.49169226
676,0,0,0,4.82554399
677,0,0,0,4.081345534
678,0,0,0,3.500795487
679,0,0,0,2.96141838
680,0,0,0,2.588998958
681,0,0,0,2.319181787
682,0,0,0,1.977734657
683,0,0,0,1.757441786
684,0,0,0,1.592901552
685,0,0,0,1.314672503
686,0,0,0,1.178989441
687,0,0,0,0
688,0,0,0,0
689,0,0,0,0
690,0,0,0,0
691,0,0,0,0
692,0,0,0,0
693,0,0,0,0
694,0,0,0,0
695,0,0,0,0
696,0,0,0,0
697,0,0,0,0
698,0,0,0,0
699,0,0,0,0
700,0,0,0,0
