,ref,LED1,LED2,LED3
603,0,0,0.029256294,0.002445512
604,0,0,0.032516125,0.002686353
605,0,0,0.036404688,0.003071214
606,0,0,0.041089303,0.003316655
607,0,0,0.046295417,0.003764456
608,0,0,0.051062098,0.003875347
609,0,0,0.057101273,0.004443475
610,0,0,0.063808649,0.005001256
611,0,0,0.071187415,0.005851096
612,0,0,0.079508724,0.005821156
613,0,0,0.089083827,0.005944698
614,0,0,0.09959868,0.00655852
615,0,0,0.110519169,0.007420135
616,0,0,0.122669097,0.008296828
617,0,0,0.136993387,0.009397341
618,0,0,0.152948354,0.010784506
619,0,0,0.170348099,0.012141853
620,0,0,0.188785714,0.013544514
621,0,0,0.210337607,0.015193178
622,0,0,0.235459475,0.0168423
623,0,0,0.262492556,0.019062693
624,0,0,0.291042349,0.021028235
625,0,0,0.321350294,0.022897166
626,0,0,0.354494671,0.025849849
627,0,0,0.391272991,0.029091388
628,0,0,0.427904944,0.031841093
629,0,0,0.456913936,0.03525697
630,0,0,0.47629274,0.038828828
631,0,0,0.483890055,0.042867784
632,0,0,0.478068324,0.047055373
633,0,0,0.459291668,0.052705998
634,0,0,0.428291919,0.058734876
635,0,0,0.389777839,0.065007043
636,0,0,0.348090392,0.071797334
637,0,0,0.307199622,0.079362719
638,0,0,0.266657631,0.088422763
639,0,0,0.228625019,0.098129716
640,0,0,0.193501145,0.107866618
641,0,0,0.163852892,0.120136516
642,0,0,0.138675709,0.134072706
643,0,0,0.11677093,0.14873381
644,0,0,0.098718143,0.165251685
645,0,0,0.082827687,0.184269397
646,0,0,0.068867437,0.204119931
647,0,0,0.058263034,0.225791615
648,0,0,0.049165751,0.250547843
649,0,0,0.04217811,0.279569957
650,0,0,0.035954746,0.309979392
651,0,0,0.029515219,0.342482722
652,0,0,0.025601931,0.379795552
653,0,0,0.022361335,0.418225125
654,0,0,0.019871577,0.457273335
655,0,0,0.017107793,0.494425048
656,0,0,0.014911304,0.525233584
657,0,0,0.012103938,0.546639273
658,0,0,0.009621335,0.553945458
659,0,0,0.009403749,0.547695444
660,0,0,0.008769876,0.526102504
661,0,0,0.008274614,0.489503474
662,0,0,0.008136683,0.44393698
663,0,0,0.007065209,0.391605301
664,0,0,0.004816462,0.339113735
665,0,0,0.003641011,0.289836036
666,0,0,0.003238235,0.245220865
667,0,0,0.002093689,0.206058966
668,0,0,0.002744609,0.1744294
669,0,0,0.003826111,0.147970123
670,0,0,0.003855578,0.124922787
671,0,0,0.00305381,0.10478724
672,0,0,0.002076598,0.088134691
673,0,0,0.001405589,0.07407047
674,0,0,0.001643766,0.061839559
675,0,0,0.00296041,0.052405012
676,0,0,0.003053028,0.043763254
677,0,0,0.003192912,0.03700036
678,0,0,0.002458159,0.030957353
679,0,0,0.00194873,0.025731457
680,0,0,0.002311437,0.022214959
681,0,0,0.002061387,0.018803172
682,0,0,0.002770279,0.016818741
683,0,0,0.001942694,0.015266269
684,0,0,0.001752154,0.013482042
685,0,0,0.0025231,0.012088497
686,0,0,0.002177931,0.010599072
687,0,0,0.002063076,0.009452734
688,0,0,0.00179525,0.00871129
689,0,0,0,0.008305549
690,0,0,0,0.007384114
691,0,0,0.00108833,0.006452537
692,0,0,0,0.005684195
693,0,0,0.001676088,0.005892703
694,0,0,0.001171482,0.005510709
695,0,0,0,0.003913807
696,0,0,0,0.003667986
697,0,0,0.001138616,0.003241424
698,0,0,0.001022077,0.002384282
699,0,0,0.001036804,0.001163491
