,ref,LED1,LED2,LED3
511,0.007575644,0.000401663,1.71E-06,6.70E-07
512,0.00790791,0.000369521,0,0
513,0.008216968,0.000338492,4.67E-07,2.52E-07
514,0.008453653,0.000308334,0,1.99E-07
515,0.008691282,0.000282808,1.41E-07,4.13E-07
516,0.008806666,0.000260062,0,1.42E-07
517,0.008873219,0.000238555,1.81E-07,4.45E-07
518,0.008865845,0.00021942,1.10E-06,2.79E-07
519,0.008833684,0.000201999,9.73E-07,5.20E-07
520,0.008751689,0.000185204,1.05E-06,4.05E-08
521,0.008594776,0.000172315,9.79E-07,1.81E-06
522,0.00838737,0.000159585,1.13E-06,1.15E-06
523,0.008179082,0.000149024,2.42E-06,0
524,0.007894928,0.000138879,9.75E-07,8.52E-07
525,0.007609593,0.000129407,1.03E-06,1.84E-07
526,0.007323031,0.000120318,1.24E-06,0
527,0.007007668,0.000113442,0,0
528,0.006688556,0.0001053,1.59E-07,0
529,0.006373113,0.000100036,2.06E-06,9.54E-07
530,0.006073803,9.19E-05,1.17E-06,9.60E-08
531,0.005762403,8.65E-05,0,0
532,0.005451577,8.19E-05,0,0
533,0.005139066,7.59E-05,0,0
534,0.004856013,7.09E-05,0,0
535,0.004591407,6.52E-05,0,0
536,0.004335542,6.21E-05,0,0
537,0.00407572,5.73E-05,0,0
538,0.003807921,5.22E-05,0,0
539,0.003579711,4.58E-05,0,0
540,0.00335176,4.09E-05,0,0
541,0.003135839,3.77E-05,0,0
542,0.002928919,3.52E-05,0,0
543,0.002720956,3.39E-05,0,0
544,0.002531922,3.27E-05,0,0
545,0.002354649,3.22E-05,0,0
546,0.002186604,3.18E-05,6.94E-07,3.47E-07
547,0.002033838,3.23E-05,3.91E-06,1.48E-06
548,0.001884681,3.16E-05,1.83E-06,1.48E-06
549,0.001751197,2.98E-05,2.62E-06,1.83E-06
550,0.001622985,2.62E-05,1.57E-06,2.62E-07
551,0.001503492,2.47E-05,7.88E-07,8.76E-08
552,0.001395662,2.29E-05,2.63E-06,1.75E-07
553,0.001294394,2.12E-05,9.49E-07,4.40E-08
